source,setup,lat,lon,error_km,pred_country,ok,fallback_00,finish,cost_usd,prompt_tokens,completion_tokens,reasoning_tokens,latency_s,raw_text
GROUND_TRUTH,,61.132875105338,-146.38494879693,0.0,US,True,,,,,,,,"Valdez, Valdez-Cordova Census Area, Alaska, US"
google/gemini-3.1-pro-preview,no-CoT,61.132,-146.365,1.075,US,True,,stop,0.005858,1225,284,250,19.22,"```json
{""country"": ""US"", ""latitude"": 61.132, ""longitude"": -146.365}
```"
google/gemini-3.1-pro-preview,CoT,61.1305,-146.3612,1.302,US,True,,stop,0.006682,1307,339,259,12.16,"{
  ""reasoning"": ""The double yellow lines and green highway sign indicate North America. The sign for 'Mineral Creek' combined with the steep, snowy mountainous terrain strongly points to Valdez, Alaska."",
  ""country"": ""US"",
  ""latitude"": 61.1305,
  ""longitude"": -146.3612
}"
google/gemini-3.5-flash,no-CoT (effort=minimal),61.1312,-146.3545,1.645,US,True,,stop,0.0021615,1225,36,0,3.0,"```json
{""country"": ""US"", ""latitude"": 61.1312, ""longitude"": -146.3545}
```"
anthropic/claude-opus-4.8,CoT,61.115,-146.35,2.734,US,True,,stop,0.00687,949,85,0,9.28,"{""reasoning"": ""Green 'Mineral Creek' road sign and snowy boreal mountain terrain match the Richardson Highway near Valdez, Alaska."", ""country"": ""US"", ""latitude"": 61.115, ""longitude"": -146.35}"
google/gemini-3.5-flash,CoT (effort=low),61.1291,-146.2935,4.927,US,True,,stop,0.00495,1308,332,252,9.67,"{""reasoning"": ""The green sign reads 'Mineral Creek' and the road features double yellow lines, characteristic of North America. This location is on the Richardson Highway (AK-4) just outside Valdez, Alaska, crossing near Mineral Creek."", ""country"": ""US"", ""latitude"": 61.1291, ""longitude"": -146.2935}"
x-ai/grok-4.3,CoT,61.006,-146.366,14.145,US,True,,stop,0.0026115,788,785,722,12.97,"{""reasoning"": ""Green US-style highway sign for 'Mineral Creek', right-side driving with double-yellow center line, heavy snowbanks and fog-covered steep forested mountains indicate Pacific Northwest/Alaska USA highway."", ""country"": ""US"", ""latitude"": 61.006, ""longitude"": -146.366}"
openai/gpt-5.5,CoT,61.185,-145.742,34.97,US,True,,stop,0.037555,755,1126,1034,32.69,"{""reasoning"":""The double yellow centerline and green creek-name sign indicate a US road, and the extreme snowbanks with steep, sparsely forested mountains strongly fit Alaska's Richardson Highway/Thompson Pass area. The visible sign reads “MIDEAST CREEK,” a named creek consistent with that Valdez-area mountain corridor."",""country"":""US"",""latitude"":61.185,""longitude"":-145.742}"
anthropic/claude-opus-4.8,no-CoT,61.7833,-144.45,125.686,US,True,,stop,0.00484,818,30,0,2.15,"{""country"": ""US"", ""latitude"": 61.7833, ""longitude"": -144.45}"
mistralai/mistral-medium-3-5,no-CoT,61.5833,-149.0,148.094,US,True,,stop,0.0013965,786,29,0,1.5,"{""country"": ""US"", ""latitude"": 61.5833, ""longitude"": -149.0}"
nicolas-dufour/PLONK_OSV_5M,PLONK cfg=0.0,61.42788314819336,-149.3214111328125,160.278,,True,,plonk,0.0,0,0,0,0.0,
moonshotai/kimi-k2.6,CoT,60.485,-149.771,197.23,US,True,,stop,0.021743856,834,6270,6196,223.81,"{""reasoning"": ""The US-style green highway sign reading 'Mineral Creek', heavy plowed snow berms, steep snow-covered boreal mountains, and left-hand drive on a two-lane highway indicate Alaska's Seward Highway corridor in winter."", ""country"": ""US"", ""latitude"": 60.485, ""longitude"": -149.771}"
nicolas-dufour/PLONK_OSV_5M,PLONK cfg=2.0,62.047359466552734,-151.86744689941406,307.24,,True,,plonk,0.0,0,0,0,0.0,
nicolas-dufour/PLONK_OSV_5M,PLONK cfg=1.5,62.0476188659668,-152.0228729248047,315.011,,True,,plonk,0.0,0,0,0,0.0,
google/gemini-3.5-flash,CoT (effort=medium),55.9883,-129.7755,1115.752,CA,True,,stop,0.0281325,1307,2908,2820,27.27,"```json
{""reasoning"": ""The green 'Mineral Creek' sign and the blue avalanche info sign are located on Highway 37A (Bear Pass) near Stewart, British Columbia, a region famous for its extremely high snowfall and steep avalanche-prone mountain walls."", ""country"": ""CA"", ""latitude"": 55.9883, ""longitude"": -129.7755}
```"
mistralai/mistral-small-2603,no-CoT,47.6062,-122.3321,2142.264,US,True,,stop,0.0001371,786,32,0,10.79,"{""country"": ""US"", ""latitude"": 47.6062, ""longitude"": -122.3321}"
minimax/minimax-m3,CoT,49.63,-114.43,2353.723,CA,True,,stop,0.00131826,995,901,821,24.75,"{""reasoning"": ""Yellow centerline markings indicate North America; the green 'Mineral Creek' highway sign with a Ukrainian flag (likely marking a Ukrainian heritage site) and the Rocky Mountain foothills terrain with sedimentary cliffs are characteristic of southern Alberta's Crowsnest Pass region."", ""country"": ""CA"", ""latitude"": 49.63, ""longitude"": -114.43}"
google/gemma-4-31b-it,no-CoT,44.4385,-111.1234,2951.353,US,True,,stop,6.388e-05,404,37,0,5.03,"```json
{""country"": ""US"", ""latitude"": 44.4385, ""longitude"": -111.1234}
```"
google/gemma-4-26b-a4b-it,no-CoT,44.4285,-110.5885,2978.771,US,True,,stop,5.708e-05,404,37,0,1.22,"```json
{""country"": ""US"", ""latitude"": 44.4285, ""longitude"": -110.5885}
```"
