source,setup,lat,lon,error_km,pred_country,ok,fallback_00,finish,cost_usd,prompt_tokens,completion_tokens,reasoning_tokens,latency_s,raw_text
GROUND_TRUTH,,-33.06659512915,-68.471172986511,0.0,AR,True,,,,,,,,"San Martin, None, Mendoza, AR"
anthropic/claude-opus-4.8,CoT,-35.42,-71.65,392.204,CL,True,,stop,0.00702,949,91,0,2.76,"{""reasoning"": ""Highway with yellow diamond warning signs, flat agricultural terrain, overpass and power lines suggest central Chile's Ruta 5 highway corridor."", ""country"": ""CL"", ""latitude"": -35.42, ""longitude"": -71.65}"
anthropic/claude-opus-4.8,no-CoT,-35.4264,-71.6553,393.033,CL,True,,stop,0.00489,818,32,0,2.35,"{""country"": ""CL"", ""latitude"": -35.4264, ""longitude"": -71.6553}"
google/gemini-3.1-pro-preview,CoT,-33.5,-60.0,788.694,AR,True,,stop,0.005916,1308,275,213,4.15,"{
  ""reasoning"": ""The yellow diamond warning signs, flat grassy terrain, and highway infrastructure are characteristic of the Pampas region in Argentina."",
  ""country"": ""AR"",
  ""latitude"": -33.5,
  ""longitude"": -60.0
}"
google/gemini-3.5-flash,CoT (effort=low),-33.8154,-59.7432,813.862,AR,True,,stop,0.004707,1308,305,233,9.58,"{""reasoning"": ""The flat landscape, style of the concrete overpass, and yellow diamond warning signs are characteristic of major national highways in the Pampas region of Argentina, such as Ruta Nacional 9."", ""country"": ""AR"", ""latitude"": -33.8154, ""longitude"": -59.7432}"
google/gemini-3.5-flash,CoT (effort=high),-33.8085,-59.5234,834.09,AR,True,,stop,0.0083955,1307,715,650,11.45,"{""reasoning"": ""The flat landscape, yellow diamond warning signs, and highway infrastructure are characteristic of the Argentine Pampas, specifically along major routes like Ruta Nacional 9."", ""country"": ""AR"", ""latitude"": -33.8085, ""longitude"": -59.5234}"
google/gemini-3.5-flash,CoT (effort=medium),-33.8125,-59.5236,834.096,AR,True,,stop,0.0093405,1307,820,742,19.51,"{""reasoning"": ""The flat landscape, dual-carriageway highway design, yellow diamond warning signs, and concrete overpass are highly characteristic of the Argentine Pampas, specifically along Ruta Nacional 9 between Buenos Aires and Rosario."", ""country"": ""AR"", ""latitude"": -33.8125, ""longitude"": -59.5236}"
openai/gpt-5.5,CoT,-34.1635,-59.0398,881.495,AR,True,,stop,0.019885,755,537,445,19.67,"{""reasoning"":""Right-hand divided highway with yellow diamond warning signs and black/yellow hazard posts fits Argentina/Uruguay-style signage, and the flat open pampas landscape points most strongly to the Buenos Aires–Rosario corridor in Argentina. The rural dual carriageway and overpass resemble Ruta Nacional 9 north of Buenos Aires."",""country"":""AR"",""latitude"":-34.1635,""longitude"":-59.0398}"
google/gemini-3.5-flash,no-CoT (effort=minimal),-34.3581,-58.7912,906.432,AR,True,,stop,0.002154,1226,35,0,7.4,"```json
{""country"": ""AR"", ""latitude"": -34.3581, ""longitude"": -58.7912}
```"
google/gemini-3.1-pro-preview,no-CoT,-34.6037,-58.3816,947.018,AR,True,,stop,0.002872,1226,35,0,8.69,"```json
{""country"": ""AR"", ""latitude"": -34.6037, ""longitude"": -58.3816}
```"
xiaomi/mimo-v2.5,no-CoT,33.75,-84.4,7613.979,US,True,,stop,9.57376e-05,820,26,0,2.39,"{""country"": ""US"", ""latitude"": 33.75, ""longitude"": -84.4}"
qwen/qwen3.5-122b-a10b,no-CoT,30.2672,-97.7431,7686.084,US,True,,stop,0.0003588,585,39,0,1.24,"{
  ""country"": ""US"",
  ""latitude"": 30.2672,
  ""longitude"": -97.7431
}"
google/gemma-4-26b-a4b-it,no-CoT,0.0,0.0,8015.968,,True,True,,,,,,13.63,
mistralai/mistral-small-2603,no-CoT,40.7128,-74.006,8223.536,US,True,,stop,0.000169875,786,30,0,1.65,"{""country"": ""US"", ""latitude"": 40.7128, ""longitude"": -74.006}"
qwen/qwen3.5-9b,no-CoT,42.3601,-71.0589,8391.222,US,True,,stop,6.325e-05,586,31,0,9.77,"{""country"": ""US"", ""latitude"": 42.3601, ""longitude"": -71.0589}"
xiaomi/mimo-v2.5,CoT,40.0,-89.0,8394.48,US,True,,stop,0.0004296376,899,1179,1121,12.05,"{""reasoning"": ""Yellow diamond warning signs and right-hand driving are standard in the United States, and the flat temperate terrain suggests a Midwest location."", ""country"": ""US"", ""latitude"": 40.0, ""longitude"": -89.0}"
nicolas-dufour/PLONK_YFCC,PLONK cfg=0.0,32.74580001831055,-108.34185028076172,8425.06,,True,,plonk,0.0,0,0,0,0.0,
nicolas-dufour/PLONK_YFCC,PLONK cfg=1.5,32.24726486206055,-110.98920440673828,8520.557,,True,,plonk,0.0,0,0,0,0.0,
nicolas-dufour/PLONK_YFCC,PLONK cfg=2.0,32.34783935546875,-111.04048156738281,8532.455,,True,,plonk,0.0,0,0,0,0.0,
