source,setup,lat,lon,error_km,pred_country,ok,fallback_00,finish,cost_usd,prompt_tokens,completion_tokens,reasoning_tokens,latency_s,raw_text
GROUND_TRUTH,,61.861720869086,6.0957849283145,0.0,NO,True,,,,,,,,"Nordfjordeid, Eid, Sogn og Fjordane, NO"
moonshotai/kimi-k2.6,CoT,61.5,6.5,45.523,NO,True,,stop,0.009371808,682,2677,2615,177.52,"{""reasoning"": ""Steep rocky fjord-valley road with thick white edge lines, short dashed center markings, wooden Nordic power poles, and mixed boreal forest matches rural western Norway."", ""country"": ""NO"", ""latitude"": 61.5, ""longitude"": 6.5}"
anthropic/claude-opus-4.8,no-CoT,61.5,6.5,45.523,NO,True,,stop,0.00408,666,30,0,1.96,"{""country"": ""NO"", ""latitude"": 61.5, ""longitude"": 6.5}"
google/gemini-3.1-pro-preview,no-CoT,61.5,6.5,45.523,NO,True,,stop,0.004036,1190,138,110,3.06,"```json
{""country"": ""NO"", ""latitude"": 61.5, ""longitude"": 6.5}
```"
nicolas-dufour/PLONK_OSV_5M,PLONK cfg=1.5,61.44655227661133,5.854264736175537,47.893,,True,,plonk,0.0,0,0,0,0.0,
nicolas-dufour/PLONK_OSV_5M,PLONK cfg=2.0,61.443580627441406,5.838836193084717,48.434,,True,,plonk,0.0,0,0,0,0.0,
anthropic/claude-opus-4.8,CoT,61.2,6.5,76.636,NO,True,,stop,0.00636,797,95,0,10.12,"{""reasoning"": ""Narrow rural road with white center dashes, exposed dark rock cuts, conifer/birch vegetation and wooden power poles typical of Norwegian fjord countryside."", ""country"": ""NO"", ""latitude"": 61.2, ""longitude"": 6.5}"
google/gemini-3.5-flash,no-CoT (effort=minimal),61.1245,6.1234,81.988,NO,True,,stop,0.002091,1190,34,0,9.58,"```json
{""country"": ""NO"", ""latitude"": 61.1245, ""longitude"": 6.1234}
```"
nicolas-dufour/PLONK_OSV_5M,PLONK cfg=0.0,61.15167236328125,6.546877861022949,82.5,,True,,plonk,0.0,0,0,0,0.0,
google/gemini-3.5-flash,CoT (effort=low),61.1234,6.4567,84.302,NO,True,,stop,0.004392,1272,276,209,9.17,"{""reasoning"": ""The narrow road with dashed white edge lines and no center line, combined with the distinctive wooden utility poles and rocky, forested terrain, is highly characteristic of rural Norway."", ""country"": ""NO"", ""latitude"": 61.1234, ""longitude"": 6.4567}"
google/gemini-3.1-pro-preview,CoT,61.0,6.5,98.2,NO,True,,stop,0.004692,1272,179,107,9.56,"{
  ""reasoning"": ""The dashed white edge lines on the road are a distinct feature of Norwegian roads. The rocky terrain, coniferous vegetation, and wooden power poles further support a location in Norway."",
  ""country"": ""NO"",
  ""latitude"": 61.0,
  ""longitude"": 6.5
}"
google/gemma-4-31b-it,no-CoT,61.25,7.5,100.782,NO,True,,stop,6.884e-05,406,30,0,8.3,"```json
{""country"": ""NO"", ""latitude"": 61.25, ""longitude"": 7.5}
```"
minimax/minimax-m3,CoT,60.85,7.15,125.748,NO,True,,stop,0.00078546,843,495,419,18.6,"{""reasoning"": ""European road markings, right-hand driving, wooden utility poles with Norwegian-style crossbar transformers, steep rocky hillside with exposed bedrock, and dense coniferous forest are all characteristic of rural western Norway, likely along a fjord valley road."", ""country"": ""NO"", ""latitude"": 60.85, ""longitude"": 7.15}"
openai/gpt-5.5,CoT,60.6412,6.4218,136.831,NO,True,,stop,0.010635,621,251,170,14.82,"{""reasoning"":""Narrow right-side-driving rural road with Norwegian-style white edge markings, wooden utility poles, exposed rock cuts, and lush conifer/birch mountain vegetation strongly indicate western Norway. The fjordland terrain and road design fit the Voss/Hardanger region."",""country"":""NO"",""latitude"":60.6412,""longitude"":6.4218}"
openai/gpt-5.5,no-CoT,60.6362,6.4315,137.449,NO,True,,stop,0.00341,544,23,0,15.07,"{""country"":""NO"",""latitude"":60.6362,""longitude"":6.4315}"
minimax/minimax-m3,no-CoT,60.5,6.0,151.503,NO,True,,stop,0.00019452,754,22,0,8.83,"{""country"": ""NO"", ""latitude"": 60.5, ""longitude"": 6.0}{""country"": ""NO"", ""latitude"": 60.5, ""longitude"": 6.0}"
moonshotai/kimi-k2.6,no-CoT,60.5,6.0,151.503,NO,True,,stop,0.000286452,603,23,0,1.83,"{""country"": ""NO"", ""latitude"": 60.5, ""longitude"": 6.0}"
qwen/qwen3.5-35b-a3b,no-CoT,60.4722,5.7322,155.732,NO,True,,stop,0.00015575,473,30,0,1.87,"{""country"": ""NO"", ""latitude"": 60.4722, ""longitude"": 5.7322}"
google/gemini-3.5-flash,CoT (effort=medium),60.4285,6.4512,160.503,NO,True,,stop,0.0059925,1271,454,387,5.11,"{""reasoning"": ""The narrow asphalt road with dashed white edge lines and no center line, combined with the distinctive wooden utility poles and dark rocky cuts, is highly characteristic of rural Norway."", ""country"": ""NO"", ""latitude"": 60.4285, ""longitude"": 6.4512}"
google/gemini-3.5-flash,CoT (effort=high),60.3912,6.2014,163.613,NO,True,,stop,0.0084675,1271,729,668,6.07,"{""reasoning"": ""The narrow asphalt road with dashed white edge lines, distinctive wooden utility poles, and rocky, forested terrain are highly characteristic of rural Norway."", ""country"": ""NO"", ""latitude"": 60.3912, ""longitude"": 6.2014}"
qwen/qwen3.6-35b-a3b,no-CoT,60.3913,5.3221,168.695,NO,True,,stop,0.00015575,473,30,0,6.81,"{""country"": ""NO"", ""latitude"": 60.3913, ""longitude"": 5.3221}"
x-ai/grok-4.3,no-CoT,60.35,6.45,169.169,NO,True,,stop,0.0005934,592,22,0,1.26,"{""country"": ""NO"", ""latitude"": 60.35, ""longitude"": 6.45}"
qwen/qwen3.5-122b-a10b,no-CoT,60.7253,8.5489,182.005,NO,True,,stop,0.00018564,474,30,0,12.74,"{""country"": ""NO"", ""latitude"": 60.7253, ""longitude"": 8.5489}"
qwen/qwen3.5-27b,no-CoT,60.472,8.468,200.128,NO,True,,stop,0.000135915,473,28,0,1.11,"{""country"": ""NO"", ""latitude"": 60.472, ""longitude"": 8.468}"
