source,setup,lat,lon,error_km,pred_country,ok,fallback_00,finish,cost_usd,prompt_tokens,completion_tokens,reasoning_tokens,latency_s,raw_text
GROUND_TRUTH,,13.901545095989,99.147114555461,0.0,TH,True,,,,,,,,"Sai Yok, None, Kanchanaburi, TH"
nicolas-dufour/PLONK_OSV_5M,PLONK cfg=2.0,13.94304370880127,99.4395980834961,31.903,,True,,plonk,0.0,0,0,0,0.0,
google/gemini-3.1-pro-preview,no-CoT,14.205,99.215,34.528,TH,True,,stop,0.005018,1189,220,187,26.04,"```json
{""country"": ""TH"", ""latitude"": 14.205, ""longitude"": 99.215}
```"
nicolas-dufour/PLONK_OSV_5M,PLONK cfg=1.5,13.883370399475098,99.46884155273438,34.787,,True,,plonk,0.0,0,0,0,0.0,
moonshotai/kimi-k2.6,CoT,13.8,99.5,39.736,TH,True,,stop,0.012251655,681,3281,3560,35.94,"{""reasoning"": ""Concrete utility poles with distinctive cross-arm insulators and curved street-light brackets match Thailand's PEA infrastructure, while left-hand road orientation and dense tropical forest on rolling hills point to a rural highway in the Kanchanaburi region."", ""country"": ""TH"", ""latitude"": 13.8, ""longitude"": 99.5}"
google/gemini-3.5-flash,CoT (effort=low),14.3254,99.1245,47.194,TH,True,,stop,0.00414,1272,248,173,2.64,"{""reasoning"": ""The concrete utility poles with crossarms, left-hand driving, yellow dashed center line, and lush tropical hilly landscape are highly characteristic of rural Thailand, particularly in western provinces like Kanchanaburi."", ""country"": ""TH"", ""latitude"": 14.3254, ""longitude"": 99.1245}"
google/gemini-3.5-flash,CoT (effort=medium),14.3452,99.1234,49.398,TH,True,,stop,0.0059565,1271,450,372,10.88,"{""reasoning"": ""The left-hand driving, yellow dashed center line, and distinctive rectangular concrete utility poles are characteristic of Thailand. The lush, tropical, hilly terrain is highly typical of western or northern provinces like Kanchanaburi."", ""country"": ""TH"", ""latitude"": 14.3452, ""longitude"": 99.1234}"
google/gemini-3.5-flash,CoT (effort=high),14.3521,99.1234,50.165,TH,True,,stop,0.0077025,1271,644,569,5.44,"{""reasoning"": ""The left-hand traffic, yellow dashed center line, and distinctive square concrete utility poles with crossarms are characteristic of Thailand, while the lush, hilly landscape suggests a region like Kanchanaburi."", ""country"": ""TH"", ""latitude"": 14.3521, ""longitude"": 99.1234}"
x-ai/grok-4.3,no-CoT,14.35,99.05,50.954,TH,True,,stop,0.0005934,592,22,0,0.96,"{""country"": ""TH"", ""latitude"": 14.35, ""longitude"": 99.05}"
google/gemini-3.5-flash,no-CoT (effort=minimal),14.3852,99.1548,53.786,TH,True,,stop,0.0020985,1189,35,0,2.99,"```json
{""country"": ""TH"", ""latitude"": 14.3852, ""longitude"": 99.1548}
```"
